prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
210,CO-RF-FR-R92B-58,HL Road Frame - Black- 58,,R ,01-07-2003,
211,CO-RF-FR-R92R-58,HL Road Frame - Red- 58,,R ,01-07-2003,
212,AC-HE-HL-U509-R,Sport-100 Helmet- Red,12,S ,01-07-2011,28-12-2007
213,AC-HE-HL-U509-R,Sport-100 Helmet- Red,14,S ,01-07-2012,27-12-2008
214,AC-HE-HL-U509-R,Sport-100 Helmet- Red,13,S ,01-07-2013,
215,AC-HE-HL-U509,Sport-100 Helmet- Black,12,S ,01-07-2011,28-12-2007
216,AC-HE-HL-U509,Sport-100 Helmet- Black,14,S ,01-07-2012,27-12-2008
217,AC-HE-HL-U509,Sport-100 Helmet- Black,13,S ,01-07-2013,
218,CL-SO-SO-B909-M,Mountain Bike Socks- M,3,M ,01-07-2011,28-12-2007
219,CL-SO-SO-B909-L,Mountain Bike Socks- L,3,M ,01-07-2011,28-12-2007
220,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,12,S ,01-07-2011,28-12-2007
221,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,14,S ,01-07-2012,27-12-2008
222,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,13,S ,01-07-2013,
223,CL-CA-CA-1098,AWC Logo Cap,6,S ,01-07-2011,28-12-2007
224,CL-CA-CA-1098,AWC Logo Cap,5,S ,01-07-2012,27-12-2008
225,CL-CA-CA-1098,AWC Logo Cap,7,S ,01-07-2013,
226,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,32,S ,01-07-2011,28-12-2007
227,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,29,S ,01-07-2012,27-12-2008
228,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,38,S ,01-07-2013,
229,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,32,S ,01-07-2011,28-12-2007
230,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,29,S ,01-07-2012,27-12-2008
231,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,38,S ,01-07-2013,
232,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,32,S ,01-07-2011,28-12-2007
233,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,29,S ,01-07-2012,27-12-2008
234,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,38,S ,01-07-2013,
235,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,32,S ,01-07-2011,28-12-2007
236,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,29,S ,01-07-2012,27-12-2008
237,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,38,S ,01-07-2013,
238,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,748,R ,01-07-2011,28-12-2007
239,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,722,R ,01-07-2012,27-12-2008
240,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,869,R ,01-07-2013,
241,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,748,R ,01-07-2011,28-12-2007
242,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,722,R ,01-07-2012,27-12-2008
243,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,869,R ,01-07-2013,
244,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,748,R ,01-07-2011,28-12-2007
245,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,722,R ,01-07-2012,27-12-2008
246,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,869,R ,01-07-2013,
247,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,748,R ,01-07-2011,28-12-2007
248,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,722,R ,01-07-2012,27-12-2008
